,country,stability,rights,health,safety,climate,costs,popularity,area,population,pop_per_km_sq,male_life_expectancy,female_life_expectancy,birth_rate,death_rate
97,Malawi,42.0,38.0,20.0,78.0,83.0,50.0,39.0,,,,,,,
98,Suriname,44.0,43.0,50.0,73.0,35.0,62.0,37.0,,,,,,,
99,Kenya,41.0,33.0,25.0,72.0,90.0,45.0,43.0,,,,,,,
100,Laos,68.0,19.0,30.0,76.0,48.0,73.0,35.0,,,,,,,
101,Pakistan,24.0,26.0,31.0,92.0,72.0,63.0,40.0,,,,,,,
102,Philippines,52.0,39.0,45.0,67.0,49.0,46.0,35.0,,,,,,,
103,Colombia,47.0,46.0,62.0,30.0,55.0,46.0,28.0,,,,,,,
104,Gambia,47.0,38.0,21.0,79.0,57.0,58.0,31.0,,,,,,,
105,Azerbaijan,46.0,24.0,70.0,38.0,56.0,64.0,19.0,,,,,,,
106,Honduras,46.0,26.0,46.0,43.0,78.0,57.0,23.0,,,,,,,
107,Guatemala,52.0,28.0,44.0,71.0,61.0,45.0,26.0,,,,,,,
108,Kyrgyzstan,36.0,27.0,57.0,58.0,48.0,71.0,25.0,,,,,,,
109,Bangladesh,43.0,26.0,44.0,74.0,50.0,61.0,33.0,,,,,,,
110,Lebanon,10.0,25.0,65.0,76.0,71.0,41.0,45.0,,,,,,,
111,El Salvador,59.0,39.0,49.0,21.0,66.0,50.0,14.0,,,,,,,
112,Belarus,37.0,28.0,82.0,81.0,22.0,40.0,37.0,,,,,,,
113,Cambodia,56.0,19.0,28.0,68.0,52.0,66.0,35.0,,,,,,,
114,Uganda,48.0,30.0,14.0,62.0,71.0,57.0,37.0,,,,,,,
115,Zambia,34.0,32.0,18.0,60.0,68.0,58.0,47.0,,,,,,,
116,Lesotho,36.0,40.0,12.0,24.0,89.0,57.0,37.0,,,,,,,
117,Gabon,48.0,25.0,32.0,52.0,44.0,46.0,73.0,,,,,,,
118,Burma,31.0,24.0,32.0,63.0,50.0,73.0,33.0,,,,,,,
119,Nicaragua,45.0,18.0,45.0,73.0,61.0,41.0,25.0,,,,,,,
120,Togo,49.0,29.0,12.0,75.0,51.0,54.0,39.0,,,,,,,
121,Tajikistan,51.0,13.0,53.0,58.0,48.0,51.0,34.0,,,,,,,
122,Iran,19.0,15.0,60.0,79.0,58.0,43.0,41.0,,,,,,,
123,Ivory Coast,47.0,36.0,11.0,58.0,53.0,57.0,37.0,,,,,,,
124,Ethiopia,27.0,31.0,16.0,31.0,81.0,63.0,42.0,,,,,,,
125,Burundi,31.0,11.0,9.0,62.0,76.0,66.0,54.0,,,,,,,
126,Sierra Leone,38.0,34.0,6.0,69.0,43.0,64.0,47.0,,,,,,,
127,Zimbabwe,29.0,14.0,13.0,74.0,92.0,37.0,36.0,,,,,,,
128,Angola,27.0,24.0,10.0,55.0,63.0,53.0,31.0,,,,,,,
129,Afghanistan,28.0,9.0,20.0,19.0,64.0,63.0,63.0,,,,,,,
130,Mozambique,36.0,26.0,10.0,4.0,81.0,53.0,35.0,,,,,,,
131,Iraq,16.0,12.0,42.0,29.0,37.0,75.0,33.0,,,,,,,
132,Cameroon,40.0,19.0,9.0,27.0,60.0,51.0,34.0,,,,,,,
133,Nigeria,18.0,24.0,12.0,23.0,54.0,57.0,39.0,,,,,,,
134,Chad,46.0,12.0,0.0,31.0,50.0,49.0,44.0,,,,,,,
